,revenue 2014,revenue 2013,revenue 2012,revenue 2011,assets 2014,assets 2013,assets 2012,assets 2011,employees 2014,employees 2013,employees 2012,employees 2011
ECOBANK GHANA LIMITED,268256742.00,268300463.00,225005318.00,151453727.00,1802349310.00,2133755064.00,1823441476.00,1375158357.00,1463.00,1465.00,1430.00,890.00
GCB BANK LIMITED,264696798.00,262220008.00,225917020.00,188887459.00,1330948558.00,1547648228.00,1585713287.00,1586822985.00,1944.00,2083.00,2169.00,2273.00
BARCLAYS BANK of GHANA LTD.,148518615.00,176234551.00,151835799.22,126948728.00,931642304.00,1057322304.00,1083327591.00,1084085714.00,1180.00,1172.00,1220.00,1220.00
FIDELITY BANK GHANA LIMITED,105224604.00,89595912.00,77191826.54,64539484.00,979673115.00,768914114.00,657090362.00,495548288.00,2100.00,1914.00,1868.00,1163.00
STANBIC BANK GHANA LIMITED,135126949.00,137401368.00,118378867.25,98975648.00,1143261494.00,1332741403.00,1365520738.00,1366476344.00,741.00,701.00,701.00,701.00
STANDARD CHARTERED BANK GHANA LIMITED,163039637.00,190938642.00,150143616.00,140173495.00,1095700675.00,1358344586.00,1271640416.00,1271242845.00,1196.00,1048.00,1047.00,942.00
CAL BANK LIMITED,101585286.00,99631367.00,70840425.00,45760723.00,848546728.00,710942748.00,618539889.00,522001943.00,737.00,566.00,516.00,470.00
ZENITH BANK (GHANA) LIMITED,111836063.00,92635457.00,79810562.91,66728989.00,960409666.00,873011844.00,746049082.00,562636993.00,634.00,634.00,634.00,634.00
ACCESS BANK (GHANA) LIMITED,74330400.00,66919547.00,57654886.23,48204801.00,537148474.00,450480923.00,384967147.00,290325078.00,487.00,422.00,411.00,255.00
UNIBANK (GHANA) LTD,57545037.00,56239093.00,48453084.46,40511246.00,670975756.00,590440927.00,504572663.00,504414911.00,646.00,496.00,452.00,411.00
HFC BANK (GHANA) LTD,62992452.00,58955911.00,38471276.00,37019672.00,419803434.00,454095923.00,316609572.00,280748795.00,939.00,723.00,642.00,584.00
GUARANTY TRUST BANK GHANA LIMITED,51472945.00,58689093.00,50563894.84,42276078.00,362833075.00,426277285.00,436761754.00,437067405.00,410.00,374.00,374.00,374.00
UT BANK LIMITED,44858986.00,56624093.00,55671808.00,50923574.00,508870791.00,607425473.00,524949464.00,459763954.00,710.00,582.00,582.00,582.00
PRUDENTIAL BANK LIMITED,43001202.00,48326820.00,41636224.29,34811722.00,349802966.00,379424557.00,388756663.00,389028719.00,832.00,756.00,756.00,756.00
BANK of AFRICA - GHANA,28717363.00,26017274.00,22415318.11,18741273.00,288244242.00,287710009.00,245868128.00,185422793.00,5000.00,5000.00,5000.00,5000.00
FIRST ATLANTIC BANK LIMITED,22832768.00,19295910.00,16624491.93,13899608.00,279551878.00,199120460.00,170162224.00,128328771.00,307.00,215.00,210.00,131.00
CITY INVESTMENTS COMPANY LTD,4703676.00,4859546.00,4186766.94,3500523.00,102203089.00,112660458.00,115431389.00,115512169.00,46.00,39.00,39.00,39.00
MERIDIAN MARSHALLS HOLDING LIMITED,443683.00,271879.00,234238.00,195845.00,2247750.00,3139941.00,3217169.00,3219420.00,42.00,42.00,42.00,42.00
